Epoch	Training. Acc.
1	0.930106
2	0.977173
3	0.982608
4	0.984772
5	0.986637
6	0.987728
7	0.988622
8	0.989519
9	0.990529
10	0.990960
11	0.991466
12	0.992017
13	0.992151
14	0.992409
15	0.992951
16	0.993163
17	0.993580
18	0.993402
19	0.993627
20	0.995760
21	0.995666
22	0.995410
23	0.995414
24	0.995577
25	0.995873
26	0.995517
27	0.995691
28	0.995396
29	0.995617
30	0.995528
31	0.995838
32	0.995867
33	0.996230
34	0.996257
35	0.996012
36	0.995849
37	0.996639
38	0.995960
39	0.996197
40	0.997187
41	0.997375
42	0.997071
43	0.997265
44	0.997297
45	0.997379
46	0.997147
47	0.997270
48	0.997348
49	0.997223
50	0.996949
51	0.997372
52	0.997265
53	0.997379
54	0.997259
55	0.997221
56	0.997276
57	0.997484
58	0.997241
59	0.997178
60	0.998100
61	0.997981
62	0.997970
63	0.997897
64	0.998053
65	0.998024
66	0.998084
67	0.997901
68	0.997825
69	0.998057
70	0.998166
71	0.998091
72	0.998033
73	0.998095
74	0.997863
75	0.998104
76	0.997912
77	0.997964
78	0.998019
79	0.997990
80	0.998430
81	0.998539
82	0.998510
83	0.998461
84	0.998481
85	0.998503
86	0.998474
87	0.998535
88	0.998392
89	0.998566
90	0.998445
91	0.998483
92	0.998501
93	0.998452
94	0.998597
95	0.998526
96	0.998479
97	0.998403
98	0.998385
99	0.998552
100	0.998782
101	0.998849
102	0.998729
103	0.998816
104	0.998822
105	0.998816
106	0.998836
107	0.998885
108	0.998867
109	0.998673
110	0.998842
111	0.998784
112	0.998822
113	0.998925
114	0.998760
115	0.998778
116	0.998809
117	0.998782
118	0.998818
119	0.998762
120	0.998943
121	0.999063
122	0.999110
123	0.999079
124	0.999036
125	0.999063
126	0.999052
127	0.998992
128	0.999056
129	0.998945
130	0.999070
131	0.998990
132	0.999025
133	0.999021
134	0.999117
135	0.999099
136	0.999059
137	0.999052
138	0.999019
139	0.999077
140	0.999190
141	0.999302
142	0.999181
143	0.999237
144	0.999206
145	0.999315
146	0.999226
147	0.999235
148	0.999309
149	0.999206
150	0.999266
151	0.999179
152	0.999213
153	0.999246
154	0.999259
155	0.999300
156	0.999313
157	0.999304
158	0.999251
159	0.999222
160	0.999349
161	0.999304
162	0.999373
163	0.999329
164	0.999353
165	0.999449
166	0.999407
167	0.999346
168	0.999369
169	0.999360
170	0.999344
171	0.999355
172	0.999378
173	0.999335
174	0.999389
175	0.999364
176	0.999380
177	0.999297
178	0.999431
179	0.999411
180	0.999418
181	0.999523
182	0.999494
183	0.999462
184	0.999536
185	0.999440
186	0.999498
187	0.999465
188	0.999532
189	0.999442
190	0.999494
191	0.999407
192	0.999545
193	0.999505
194	0.999447
195	0.999449
196	0.999485
197	0.999534
198	0.999527
199	0.999416
200	0.999529
