,eps_1,mse,lr_2,epoch,msle,_timestamp,Predictions,lr_1,train_loss,valid_loss,lr_0,mom_1,train_samples_per_sec,Inputs,_runtime,r2_score,raw_loss,mae,eps_2,mom_2,sqr_mom_0,Ground_Truth,wd_0,wd_1,_rmse,sqr_mom_1,sqr_mom_2,wd_2,_step,mom_0,_exp_rmspe,eps_0,pearsonr,spearmanr
0,1e-05,,4.0000116139061154e-05,0.055428571428571084,,1680014334.6649592,,2.82843533701796e-05,0.18619824945926666,,2.0000058069530573e-05,0.9499999879021811,203.42077460084198,,1680.0247592926025,,0.2106703668832779,,1e-05,0.9499999879021811,0.99,,0.01,0.01,,0.99,0.99,0.01,775,0.9499999879021811,,1e-05,,
1,1e-05,,4.000012970081538e-05,0.05857142857142814,,1680014353.7350707,,2.8284362959787977e-05,0.1795596331357956,,2.0000064850407686e-05,0.9499999864894983,204.0714811380242,,1699.0948708057404,,0.16857106983661652,,1e-05,0.9499999864894983,0.99,,0.01,0.01,,0.99,0.99,0.01,819,0.9499999864894983,,1e-05,,
2,1e-05,,4.000022553939544e-05,0.07721428571428479,,1680014475.9859085,,2.8284430727897836e-05,0.17483942210674286,,2.0000112769697716e-05,0.949999976506313,82.2262764344796,,1821.3457086086273,,0.2348836213350296,,1e-05,0.949999976506313,0.99,,0.01,0.01,,0.99,0.99,0.01,1080,0.949999976506313,,1e-05,,
3,1e-05,,4.000034255552859e-05,0.09514285714285574,,1680014599.6827507,,2.82845134707991e-05,0.16441704332828522,,2.000017127776429e-05,0.9499999643171324,133.55509043143994,,1945.0425508022308,,0.1390126496553421,,1e-05,0.9499999643171324,0.99,,0.01,0.01,,0.99,0.99,0.01,1331,0.9499999643171324,,1e-05,,
4,1e-05,,4.00004931563952e-05,0.11414285714285523,,1680014722.549148,,2.8284619961693126e-05,0.16179229319095612,,2.0000246578197596e-05,0.9499999486295422,193.17663890762435,,2067.9089481830597,,0.15967385470867157,,1e-05,0.9499999486295422,0.99,,0.01,0.01,,0.99,0.99,0.01,1597,0.9499999486295422,,1e-05,,
5,1e-05,,4.000087809531482e-05,0.15228571428571663,,1680014977.9930954,,2.8284892154613534e-05,0.13193969428539276,,2.0000439047657407e-05,0.949999908531738,155.49515000899032,,2323.3528954982758,,0.13135312497615814,,1e-05,0.949999908531738,0.99,,0.01,0.01,,0.99,0.99,0.01,2131,0.949999908531738,,1e-05,,
6,1e-05,,4.0000930782110915e-05,0.1567857142857174,,1680015007.8850794,,2.8284929409804335e-05,0.1293182224035263,,2.0000465391055454e-05,0.9499999030435301,107.66812377532578,,2353.2448794841766,,0.1117667704820633,,1e-05,0.9499999030435301,0.99,,0.01,0.01,,0.99,0.99,0.01,2194,0.9499999030435301,,1e-05,,
7,1e-05,,4.000117015920341e-05,0.17578571428572057,,1680015159.528155,,2.82850986749697e-05,0.12501807510852814,,2.0000585079601702e-05,0.9499998781084162,153.09305378538275,,2504.887955188751,,0.10992193222045898,,1e-05,0.9499998781084162,0.99,,0.01,0.01,,0.99,0.99,0.01,2460,0.9499998781084162,,1e-05,,
8,1e-05,,4.000123183749005e-05,0.1803571428571499,,1680015199.140862,,2.8285142288104433e-05,0.12209565937519073,,2.000061591874502e-05,0.9499998716835948,81.8666622322737,,2544.500662088394,,0.09993430227041245,,1e-05,0.9499998716835948,0.99,,0.01,0.01,,0.99,0.99,0.01,2524,0.9499998716835948,,1e-05,,
9,1e-05,,4.000129209912051e-05,0.1847142857142935,,1680015232.5545502,,2.8285184899511976e-05,0.11833889037370682,,2.0000646049560252e-05,0.9499998654063416,80.30457517748634,,2577.914350271225,,0.09602703899145126,,1e-05,0.9499998654063416,0.99,,0.01,0.01,,0.99,0.99,0.01,2585,0.9499998654063416,,1e-05,,
10,1e-05,,4.000326154849359e-05,0.29342857142858053,,1680016130.289317,,2.828657751051888e-05,0.07625050842761993,,2.000163077424679e-05,0.9499996602553652,78.99463527684631,,3475.6491169929504,,0.06925319135189056,,1e-05,0.9499996602553652,0.99,,0.01,0.01,,0.99,0.99,0.01,4107,0.9499996602553652,,1e-05,,
11,1e-05,,4.0003301376047744e-05,0.2952142857142944,,1680016145.559207,,2.828660567285251e-05,0.07760869711637497,,2.000165068802387e-05,0.9499996561066617,78.07749777238455,,3490.919007062912,,0.10853534936904907,,1e-05,0.9499996561066617,0.99,,0.01,0.01,,0.99,0.99,0.01,4132,0.9499996561066617,,1e-05,,
